tag	matrix	n	input_nnz	amd_flops	baseline_flops	factor_nnz	seconds	raw0	raw1	raw2	raw3	post0	post1	post2	post3
ORIGINAL_ROW	chp_shorttermplan2d	16364	52108	4089003	1997381	81473	0.011332	1997381	1997381	1997381	1997381	1997381	1997381	1997381	1997381
ORIGINAL_ROW	sporttournament18	156	886	17568	13608	1328	0.000164	13608	13608	13608	13608	13608	13608	13608	13608
ORIGINAL_ROW	cvxnonsep_psig30	30	870	9455	9455	465	0.000048	9455	9455	9455	9455	9455	9455	9455	9455
ORIGINAL_ROW	ringpack_20_2	6089	40368	1872174	707413	36329	0.004595	707413	707413	707413	707413	707413	707413	707413	707413
ORIGINAL_ROW	blend718	1386	4310	70355	61466	5842	0.000853	61466	61466	61466	61466	61466	61466	61466	61466
ORIGINAL_ROW	wastepaper4	115	724	9711	7183	807	0.000100	7183	7183	7183	7183	7183	7183	7183	7183
ORIGINAL_ROW	squfl010-040persp	2450	7200	22825	22825	6895	0.001220	22825	22825	22825	22825	22825	22825	22825	22825
ORIGINAL_ROW	crudeoil_lee4_06	10429	55492	65337120	32474991	233773	0.055679	32472227	32472227	32474451	32472227	32467193	32467193	32469401	32467193
ORIGINAL_ROW	netmod_kar1	1746	4928	56838	43864	6364	0.000978	43864	43864	43864	43864	43864	43864	43864	43864
ORIGINAL_ROW	ex8_1_7	14	46	137	128	40	0.000013	128	128	128	128	128	128	128	128
ORIGINAL_ROW	graphpart_3g-0333-0333	108	648	44928	36228	1594	0.000139	36228	36228	36228	36228	36228	36228	36228	36228
ORIGINAL_ROW	slay05h	760	2080	9815	8795	2425	0.000411	8795	8795	8795	8795	8795	8795	8795	8795
ORIGINAL_ROW	korcns	156	712	7241	6599	887	0.000144	6599	6599	6599	6599	6599	6599	6599	6599
ORIGINAL_ROW	powerflow0118p	5065	18730	121503	117327	20045	0.003502	117327	117327	117327	117327	117327	117327	117327	117327
ORIGINAL_ROW	sfacloc2_3_80	4799	20600	84672	81119	16813	0.002868	81119	81119	81119	81119	81119	81119	81119	81119
ORIGINAL_ROW	rsyn0820m04m	6028	17372	196890	152980	21916	0.003807	152980	152980	152980	152980	152980	152980	152980	152980
ORIGINAL_ROW	hydroenergy1	1046	3024	14089	14089	3435	0.000606	14089	14089	14089	14089	14089	14089	14089	14089
ORIGINAL_ROW	maxmin	181	1440	8405	8405	925	0.000136	8405	8405	8405	8405	8405	8405	8405	8405
ORIGINAL_ROW	st_ht	8	18	51	44	18	0.000006	44	44	44	44	44	44	44	44
ORIGINAL_ROW	crudeoil_lee2_06	6418	34646	23299675	16066186	133378	0.014377	16066186	16066186	16065698	16066186	16066186	16066186	16065194	16066186
ORIGINAL_ROW	kan_r3_h1_n4	3183	14062	104945	98715	15597	0.002292	98715	98715	98715	98715	98715	98715	98715	98715
ORIGINAL_ROW	primary	378	5610	109639	95258	3428	0.000527	95258	95258	95258	95258	95258	95258	95258	95258
ORIGINAL_ROW	syn10m03hfsg	1071	2772	9890	9812	3040	0.000659	9812	9812	9812	9812	9812	9812	9812	9812
ORIGINAL_ROW	wastewater02m1	36	138	848	790	156	0.000034	790	790	790	790	790	790	790	790
ORIGINAL_ROW	supplychainr1_022020	4620	15680	273140	273100	20540	0.002600	273100	273100	273100	273100	273100	273100	273100	273100
ORIGINAL_ROW	squfl025-025persp	3800	11250	49925	49925	10975	0.001965	49925	49925	49925	49925	49925	49925	49925	49925
ORIGINAL_ROW	ringpack_30_2	17999	121458	12394600	2873684	108470	0.014102	2873684	2873684	2873684	2873684	2873684	2873684	2873684	2873684
ORIGINAL_ROW	nuclear104	39098	257806	103156931	78321564	523276	0.037718	78321564	78321564	78321564	78321564	78321564	78321564	78321564	78321564
ORIGINAL_ROW	chp_shorttermplan1a	4952	15700	376486	299825	22589	0.003251	299825	299825	299825	299825	299825	299825	299825	299825
ORIGINAL_ROW	rocket50	555	3488	19983	19265	3185	0.000475	19265	19265	19265	19265	19265	19265	19265	19265
