name	n	nnz	amd_flops	control05_flops	final_flops	control05_factor_nnz	added_screen_seconds
popdynm200	22407	105584	2567878	2436690	2436690	185112	0.000000
mpbp_35	11120	40790	3037207	976558	976558	63274	0.009204
syn30m02m	1492	3936	13752	13455	13455	4221	0.000812
wastewater13m1	481	3252	60135	60068	60068	3560	0.000428
syn40hfsg	1022	2624	8432	8155	8155	2807	0.000519
sep1	69	206	1097	1047	1047	249	0.000052
syn30m03m	2508	6804	26806	26552	26552	7404	0.001253
st_qpc-m3a	30	304	2330	1574	1574	182	0.000034
crudeoil_pooling_ct3	2644	11426	1381490	866223	866223	26611	0.003603
space25a	634	3246	29078	27875	27875	3349	0.000501
autocorr_bern20-15	23	394	2784	2784	2784	220	0.000038
ex7_2_1	35	134	352	341	341	103	0.000026
hydroenergy2	2092	6236	69051	56014	56014	8284	0.001203
pooling_digabel19	514	5340	325989	274903	274903	8765	0.001020
clay0203m	132	420	1348	1348	1348	402	0.000073
squfl030-150	13680	36000	252605	252605	252605	41115	0.006079
