probe binary: /home/frosty/angelX/.tmp/live-performance-20260911/matrices-deepseek/target/probe/release/deps/ssi_candidate_worker-9bc17c144118ca64

running 1 test
test ordering::probe::probe_family ... 
matrix	n	nnz	cur_s	cur_r	kahip_fast2_s	kahip_fast2_r	kahip_fast3_s	kahip_fast3_r	kahip_eco_s	kahip_eco_r	kahip_strong_s	kahip_strong_r	metis_s21_s	metis_s21_r	metis_s2_s	metis_s2_r	metis_imb10_s	metis_imb10_r	metis_imb05_s	metis_imb05_r	metis_sw100_s	metis_sw100_r	metis_sw400_s	metis_sw400_r	metis_dq_s	metis_dq_r	scotch_s2_s	scotch_s2_r
squfl010-080	2490	6400	0.3260	1.0000	0.0027	4.6262	0.0029	4.9069	0.0059	3.1066	0.0064	10.5297	0.0011	1.6129	0.0011	1.6109	0.0011	1.7394	0.0012	1.6665	0.0012	1.6584	0.0011	1.6584	0.0011	1.6584	0.0017	1.6321
genpooling_lee2	221	1048	0.2453	0.7051	0.0001	1.0000	0.0001	1.0000	0.0005	1.1349	0.0007	1.1303	0.0003	2.1679	0.0002	1.3991	0.0002	2.1575	0.0002	2.1575	0.0004	3.2798	0.0001	1.0000	0.0002	2.1575	0.0004	1.8677
popdynm25	2807	13904	0.5919	0.7966	0.0096	7.7672	0.0086	4.5311	0.0292	4.0972	0.0367	8.2244	0.0055	7.1581	0.0061	5.4507	0.0059	5.5183	0.0056	6.6382	0.0077	6.8804	0.0048	7.9341	0.0060	7.3359	0.0091	7.0734
chp_partload	5211	16740	0.7089	0.7353	0.0134	3.5836	0.0141	3.2837	0.0433	2.0834	0.0591	2.2056	0.0121	3.7055	0.0115	3.1165	0.0112	3.3638	0.0112	3.3634	0.0154	3.1389	0.0088	2.7362	0.0114	2.6650	0.0161	4.8400
st_glmp_ss1	24	66	0.1438	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
torsion50	2508	29808	0.4809	0.6618	0.0176	1.6911	0.0159	1.8783	0.0304	1.4014	0.0372	1.3379	0.0055	1.5342	0.0060	1.4233	0.0058	1.4164	0.0056	1.4740	0.0078	1.6203	0.0040	1.6104	0.0057	1.2593	0.0028	1.0000
st_rv2	40	340	0.1804	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
emfl100_3_3	6885	15948	0.2136	1.0000	0.0133	1.0272	0.0139	1.0554	0.0259	1.0272	0.0261	1.0272	0.0033	1.0272	0.0033	1.0272	0.0034	1.0272	0.0038	1.0335	0.0035	1.0391	0.0035	1.0391	0.0035	1.0391	0.0049	1.0563
pedigree_sim400	351	23546	0.0002	0.9997	0.0044	1.3226	0.0041	1.3789	0.0077	1.6695	0.0086	1.4130	0.0020	1.6897	0.0018	1.1598	0.0013	1.1710	0.0015	1.1718	0.0036	1.7695	0.0002	1.0000	0.0018	1.1701	0.0061	1.7346
polygon75	5846	49652	0.0008	1.0000	0.0209	1.0000	0.0217	1.0000	0.0513	1.0000	0.0523	1.0000	0.0096	1.0000	0.0099	1.0000	0.0097	1.0000	0.0098	1.0000	0.0099	1.0000	0.0099	1.0000	0.0100	1.0000	0.0188	1.0000
fo9_ar25_1	1049	4336	0.2915	0.9177	0.0024	1.1522	0.0024	1.0629	0.0048	1.5872	0.0052	1.4773	0.0012	0.9957	0.0015	1.4738	0.0018	1.5536	0.0020	1.7518	0.0012	1.0245	0.0016	1.0245	0.0012	1.0245	0.0024	1.3736
rsyn0840m	1159	3168	0.3685	0.9404	0.0012	1.1845	0.0010	1.2245	0.0026	1.3816	0.0040	1.4199	0.0015	1.2909	0.0013	1.2894	0.0016	1.4314	0.0017	1.4449	0.0023	1.2935	0.0011	1.1173	0.0018	1.3151	0.0024	1.3941
gancns	548	2800	0.3974	0.8502	0.0018	1.8263	0.0018	2.0051	0.0039	2.4034	0.0051	2.6064	0.0010	1.9283	0.0010	1.8207	0.0009	2.4028	0.0010	3.3802	0.0016	2.8642	0.0006	1.9132	0.0009	2.0219	0.0015	2.5034
o9_ar4_1	1049	4336	0.3015	0.9177	0.0018	1.4125	0.0015	1.1522	0.0037	2.0593	0.0042	1.6671	0.0011	1.5278	0.0008	0.9957	0.0013	1.6689	0.0014	1.7136	0.0010	1.3080	0.0008	1.0974	0.0010	1.3080	0.0015	1.2544
ex1265a	123	560	0.2758	0.9498	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0002	1.4192	0.0000	1.0000	0.0000	1.0000	0.0002	1.2176
ex9_2_6	28	68	0.1610	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
slay04m	146	432	0.2254	1.0000	0.0001	1.0000	0.0000	1.0000	0.0000	1.0000	0.0003	1.4015	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0002	1.2703	0.0000	1.0000	0.0000	1.0000	0.0002	1.4260
st_e25	20	92	0.0000	0.7798	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
ex8_4_1	32	100	0.1836	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
st_e07	19	60	0.1646	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
ex1225	26	66	0.1744	0.9415	0.0000	0.9825	0.0000	0.9825	0.0000	0.9825	0.0000	0.9825	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000
ndcc13	969	5882	0.5013	0.6183	0.0032	1.3018	0.0029	0.9351	0.0075	0.7449	0.0095	0.9456	0.0024	0.8979	0.0022	0.7997	0.0024	1.1615	0.0023	1.1615	0.0032	0.7208	0.0017	0.9330	0.0028	0.8313	0.0030	0.9932
