tag	matrix	n	input_nnz	amd_flops	control_flops	extended_flops	seconds
BATCH_RUNTIME_ROW	methanol200	11999	76128	1290836	905945	905945	0.490427
BATCH_RUNTIME_ROW	faclay35	26778	132380	33630126	32021838	32021838	0.476634
BATCH_RUNTIME_ROW	emfl050_5_5	13175	32300	155400	155400	155400	0.218686
BATCH_RUNTIME_ROW	transswitch2383wpr	59853	277562	3946309	3861509	3861509	0.378118
BATCH_RUNTIME_ROW	chimera_lga-01	1120	6400	668019	497101	497101	0.425031
BATCH_RUNTIME_ROW	gasprod_sarawak16	4596	15316	213850	196064	196064	0.545496
BATCH_RUNTIME_ROW	crudeoil_lee4_09	15904	101792	208785578	129101152	129101152	0.746464
BATCH_RUNTIME_ROW	arki0013	44909	160172	390472987	150283404	150283404	0.748211
BATCH_RUNTIME_ROW	st_m1	42	432	3097	3097	3097	0.171805
BATCH_RUNTIME_ROW	mpbp_47	5310	17098	730624	652248	652248	0.538235
BATCH_RUNTIME_ROW	rsyn0815m	821	2242	8260	7745	7745	0.381074
BATCH_RUNTIME_ROW	arki0016	7993	37208	878890	835803	835794	0.761192
BATCH_RUNTIME_ROW	st_glmp_ss2	18	48	121	121	121	0.129924
BATCH_RUNTIME_ROW	rsyn0810m02hfsg	2670	6964	36862	34753	34753	0.495352
BATCH_RUNTIME_ROW	pointpack06	55	276	1497	1497	1497	0.180210
BATCH_RUNTIME_ROW	syn40m04hfsg	6328	16896	76232	73685	73685	0.304575
BATCH_RUNTIME_ROW	clay0304m	258	840	2742	2742	2742	0.263621
BATCH_RUNTIME_ROW	pooling_foulds5pq	1218	8300	159641	159641	159641	0.344092
BATCH_RUNTIME_ROW	clay0305hfsg	1000	2910	12260	11240	11240	0.366329
BATCH_RUNTIME_ROW	st_test8	64	232	2343	1964	1964	0.244217
BATCH_RUNTIME_ROW	gams05	17364	252910	6179750712	3259322396	3259322396	0.672846
BATCH_RUNTIME_ROW	sporttournament08	31	156	862	862	862	0.198839
BATCH_RUNTIME_ROW	powerflow0030p	1121	4194	24944	23642	23642	0.331329
BATCH_RUNTIME_ROW	popdynm200	22407	105584	2567878	2436150	2436150	0.603999
BATCH_RUNTIME_ROW	mpbp_35	11120	40790	3037207	976558	975441	0.570218
BATCH_RUNTIME_ROW	syn30m02m	1492	3936	13752	13455	13455	0.353209
BATCH_RUNTIME_ROW	wastewater13m1	481	3252	60135	60068	60068	0.302438
BATCH_RUNTIME_ROW	syn40hfsg	1022	2624	8432	8155	8155	0.287443
BATCH_RUNTIME_ROW	sep1	69	206	1097	1047	1047	0.177012
BATCH_RUNTIME_ROW	syn30m03m	2508	6804	26806	26552	26552	0.383062
BATCH_RUNTIME_ROW	st_qpc-m3a	30	304	2330	1574	1574	0.000004
BATCH_RUNTIME_ROW	crudeoil_pooling_ct3	2644	11426	1381490	866223	866197	0.573666
BATCH_RUNTIME_ROW	space25a	634	3246	29078	27875	27875	0.367961
BATCH_RUNTIME_ROW	autocorr_bern20-15	23	394	2784	2784	2784	0.000004
BATCH_RUNTIME_ROW	ex7_2_1	35	134	352	341	341	0.204563
BATCH_RUNTIME_ROW	hydroenergy2	2092	6236	69051	56014	56014	0.512081
BATCH_RUNTIME_ROW	pooling_digabel19	514	5340	325989	274903	274903	0.321900
BATCH_RUNTIME_ROW	clay0203m	132	420	1348	1348	1348	0.264639
BATCH_RUNTIME_ROW	squfl030-150	13680	36000	252605	252605	252605	0.288256
