tag	matrix	n	input_nnz	amd_flops	base_flops	base_factor_nnz	selected_flops	seconds	accepted_state_flags
SELECTED_ORIGINAL_ROW	edgecross24-115	16747	77352	35096942	27626301	160407	27626301	0.000000	0
SELECTED_ORIGINAL_ROW	space25	1178	4334	23567	22528	4186	22528	0.000000	0
SELECTED_ORIGINAL_ROW	methanol400	23999	151728	2586036	1864047	186271	1864047	0.000000	0
SELECTED_ORIGINAL_ROW	pooling_foulds5tp	1218	8364	251833	171941	9811	171941	0.000000	0
SELECTED_ORIGINAL_ROW	pooling_sppa9tp	5040	121302	104609262	16877457	158869	16877457	0.000000	0
SELECTED_ORIGINAL_ROW	st_miqp2	10	18	37	37	19	37	0.000000	0
SELECTED_ORIGINAL_ROW	autocorr_bern30-23	33	878	8940	8940	472	8940	0.000000	0
SELECTED_ORIGINAL_ROW	mpbp_15	9858	31692	1496502	1167920	55898	1167920	0.000000	0
SELECTED_ORIGINAL_ROW	cvxnonsep_psig30r	126	250	501	501	251	501	0.000000	0
SELECTED_ORIGINAL_ROW	rsyn0830hfsg	1590	4100	16168	15383	4687	15383	0.000000	0
SELECTED_ORIGINAL_ROW	crudeoil_pooling_ct1	1271	4642	125127	93863	7323	93863	0.000000	0
SELECTED_ORIGINAL_ROW	multiplants_stg1c	800	3894	150039	143020	6946	143020	0.000000	0
SELECTED_ORIGINAL_ROW	st_pan1	11	32	123	94	30	94	0.000000	0
SELECTED_ORIGINAL_ROW	multiplants_stg1b	814	3992	308612	187593	7725	187593	0.000000	0
SELECTED_ORIGINAL_ROW	methanol200	11999	76128	1290836	905945	92103	905945	0.000000	0
SELECTED_ORIGINAL_ROW	faclay35	26778	132380	33630126	32021838	204090	32021838	0.000000	0
SELECTED_ORIGINAL_ROW	emfl050_5_5	13175	32300	155400	155400	38550	155400	0.000000	0
SELECTED_ORIGINAL_ROW	transswitch2383wpr	59853	277562	3946309	3861509	332327	3861509	0.000000	0
SELECTED_ORIGINAL_ROW	chimera_lga-01	1120	6400	668019	497101	15989	497101	0.000000	0
SELECTED_ORIGINAL_ROW	gasprod_sarawak16	4596	15316	213850	196064	22604	196064	0.000000	0
SELECTED_ORIGINAL_ROW	crudeoil_lee4_09	15904	101792	208785578	129101152	556476	128840457	0.029705	3
SELECTED_ORIGINAL_ROW	arki0013	44909	160172	390472987	150283404	683350	150041934	0.056107	3
SELECTED_ORIGINAL_ROW	st_m1	42	432	3097	3097	313	3097	0.000000	0
